MD,WOB,RPM,TOR,MSE,ROP,WOB min,TOR max,TOR min,Rotary RPM,Diff,Surface MSE,Fm,top,bottom,ftype,Section,Start depth
1604.5,9.7,277.59,3.31,450.15,104.11,9.3,15.952,15.123,80.44,309.09,2011.685072,,,,,,
1605,11.2,277.76,3.46,454.33,108.25,10.2,22.011,17.246,80.47,322.83,2208.441402,,,,,,
1605.5,11.7,278,3.42,437.17,111.83,11.6,19.214,15.434,80.56,319.73,1917.337937,,,,,,
1606,12,278.05,3.94,491.72,114.15,11.8,19.111,17.143,80.61,368.18,2085.789732,,,,,,
1606.5,13.2,277.74,3.64,453.94,114.58,11.2,19.163,16.211,80.59,339.42,1965.268755,,,,,,
1607,16.2,278.21,5.17,644.13,114.39,15.4,25.222,18.8,81.06,482.55,2287.853985,,,,,,
1607.5,13.9,277.65,5.17,993.64,72.92,13.4,20.147,18.489,80.5,482.55,3508.273143,,,,,,
1608,12.3,277.63,4.07,507.02,114.17,11.5,19.111,16.78,80.33,380.35,2038.890437,,,,,,
1608.5,12.9,277.68,4.26,528.12,114.64,11.5,18.904,17.35,80.53,397.65,2100.200896,,,,,,
1609,12.9,277.79,4.53,557.9,115.22,11.1,22.477,15.693,80.64,422.76,1892.490117,,,,,,
1609.5,11.4,278.39,3.93,487.45,114.66,11.1,18.334,17.402,80.95,366.66,2109.492794,,,,,,
1610,11.5,278.25,4.08,496.95,116.72,10.7,18.956,17.298,80.95,380.84,2059.303503,,,,,,
1610.5,11.8,277.95,4.28,517.03,117.66,11.8,16.418,16.159,81.09,400.02,1907.793135,,,,,,
1611,13.4,278.1,3.83,465.41,117.75,10.8,16.987,14.502,80.95,357.3,1715.416389,,,,,,
1611.5,15.5,277.61,4.26,518.48,117.76,14.2,22.011,22.011,80.61,398.19,2592.633272,,,,,,
1612,15.8,277.67,5.03,610.6,117.28,15.5,19.37,18.956,80.67,469.44,2245.527437,,,,,,
1612.5,13.8,277.51,4.84,592.54,115.9,11.8,18.179,16.573,80.36,452.02,1985.209455,,,,,,
1613,11.5,277.76,4.42,531.91,117.7,10.9,19.214,17.971,80.61,412.61,2117.494045,,,,,,
1613.5,14.1,277.67,4.83,582.32,117.98,14.1,22.166,22.166,80.67,451.37,2604.702836,,,,,,
1614,13.9,277.74,4.88,588.33,117.88,12.4,22.529,18.593,80.59,455.89,2189.887015,,,,,,
1614.5,14.1,277.25,4.69,566.76,117.56,13.7,22.011,19.422,80.39,438.03,2289.129863,,,,,,
1615,13.7,278.12,4.7,565.23,118.28,13.3,21.856,20.975,81.12,438.51,2462.959522,,,,,,
1615.5,11.4,278.21,4.44,535,117.69,11.1,20.354,20.198,81.06,414.47,2381.946596,,,,,,
1616,15.4,277.56,4.53,548.65,117.84,11.2,18.748,16.625,80.56,422.75,1961.343647,,,,,,
1616.5,17.8,278.47,5.03,612.71,117.75,16.3,25.844,20.924,81.32,469.6,2476.330355,,,,,,
1617,12.2,277.74,4.83,636.83,107,11,19.214,16.884,80.59,450.59,2188.59304,,,,,,
1617.5,11.4,277.68,3.92,470.75,118.46,10.9,18.8,18.748,80.53,366.37,2193.549445,,,,,,
1618,11.7,277.73,4.37,514.28,120.5,11,19.266,17.661,80.44,407.85,2033.267354,,,,,,
1618.5,11.3,277.34,4.2,492.89,120.7,10.7,17.246,16.47,80.19,392,1890.85396,,,,,,
1619,11,277.57,4.2,492.52,120.95,10.9,17.816,16.47,80.42,392.5,1888.152846,,,,,,
1619.5,11.1,277.54,4.14,485.16,121.09,11.1,17.816,16.107,80.39,386.85,1844.651813,,,,,,
1620,10.9,277.74,4.15,485.7,121.03,10.4,19.163,15.175,80.3,387.03,1740.596639,,,,,,
1620.5,11.9,277.53,3.91,459.95,120.96,10.7,16.314,15.071,80.53,364.9,1729.759661,,,,,,
1621,15.8,278.3,5.24,608.11,123,13.5,24.238,17.091,81.29,489.16,1937.600828,,,,,,
1621.5,10.9,277.47,4.08,500.36,115.34,10.9,18.023,16.47,80.47,380.66,1978.491131,,,,,,
1622,11.3,277.42,4.07,474.53,121.84,10.6,15.848,14.346,80.42,380.4,1634.083983,,,,,,
1622.5,11.8,277.88,3.72,435.37,121.92,3.8,14.605,11.446,80.3,347.13,1308.65542,,,,,,
1623,7.4,277.71,3.07,484.11,89.21,5.9,14.605,12.999,80.42,287.07,2015.845831,,,,,,
1623.5,11.4,277.88,3.47,500.42,98.37,8.7,19.629,15.434,80.73,323.79,2176.298949,,,,,,
1624,13.4,277.78,5.04,616.2,115.94,9.9,21.856,17.298,80.78,470.73,2072.089707,,,,,,
1624.5,9.8,277.66,3.66,467.36,110.95,9.2,19.059,17.298,80.36,342.17,2158.886823,,,,,,
1625,10.5,277.93,4.22,555.57,107.2,9.6,20.975,18.179,80.78,393.69,2350.291125,,,,,,
1625.5,10.6,277.76,4.49,552.53,114.86,10.5,18.593,17.35,80.47,419.61,2093.888429,,,,,,
1626,11,277.87,4.64,538.75,121.76,10.6,18.852,17.764,80.87,432.84,2024.13738,,,,,,
1626.5,13.6,277.98,4.59,535.59,122.24,12,19.991,19.214,80.98,428.98,2183.874891,,,,,,
1627,15.8,277.57,6.08,703.49,122.4,13.9,21.856,19.422,80.42,567.26,2204.031904,,,,,,
1627.5,14.1,277.73,6.18,729.26,119.63,14,21.597,19.939,80.73,576.77,2313.242872,,,,,,
1628,14.3,277.96,6,696,121.95,14.1,21.493,20.924,80.81,559.79,2382.968776,,,,,,
1628.5,13.4,277.7,5.66,656.08,121.9,12.6,19.939,19.629,80.7,528.03,2234.344649,,,,,,
1629,12.1,277.54,4.95,570.73,122.67,12,21.183,19.836,80.39,462.04,2240.670901,,,,,,
1629.5,11.9,277.89,4.64,534.03,123.24,11.9,21.959,20.768,80.89,433.16,2337.140536,,,,,,
1630,12.3,277.78,4.87,564.45,122.27,11.9,20.613,18.023,80.64,454.71,2045.963549,,,,,,
1630.5,12.7,277.48,4.72,547.79,122.24,12.2,20.302,17.246,80.33,440.85,1957.301793,,,,,,
1631,12.2,277.7,4.65,536.12,123.05,12,18.904,17.195,80.56,434.21,1939.73751,,,,,,
1631.5,12.2,277.73,4.57,529.92,122.39,12.1,20.82,20.561,80.59,426.69,2329.0262,,,,,,
1632,12,277.57,4.57,529.16,122.45,11.4,17.816,16.884,80.42,426.74,1913.003437,,,,,,
1632.5,12.7,277.77,4.5,514.28,124.41,12.2,19.37,17.712,80.33,419.94,1977.016802,,,,,,
1633,13,277.5,4.91,548.29,127.06,12.8,21.856,19.577,80.5,458.29,2136.616943,,,,,,
1633.5,13.1,277.48,5.23,583.38,127.03,12.9,21.493,19.991,80.33,488.35,2181.938401,,,,,,
1634,16.6,277.53,5.63,630.38,127.29,14.2,22.27,19.525,80.53,525.96,2132.037158,,,,,,
1634.5,14.2,277.5,5.63,704.47,112.96,14.2,21.39,20.924,80.5,525.96,2566.84895,,,,,,
1635,14.7,277.5,5.27,571.36,131.31,13.9,22.063,21.183,80.5,492.22,2238.484804,,,,,,
1635.5,13.6,277.79,5.17,557.57,131.73,13.2,20.095,19.888,80.64,482.24,2096.875182,,,,,,
1636,13.5,277.47,5.01,540.73,131.81,13.2,21.234,20.768,80.47,468.13,2184.965195,,,,,,
1636.5,13.1,277.53,4.84,526.38,130.83,13.1,20.25,19.836,80.53,452.27,2103.135312,,,,,,
1637,14.3,277.62,5.12,555.27,131.22,13.8,22.063,17.868,80.33,477.81,1892.725293,,,,,,
1637.5,14.4,277.7,5.08,550.46,131.41,14.4,23.306,20.716,80.7,473.96,2189.064696,,,,,,
1638,14,277.56,5.08,550.81,131.13,13.3,21.804,20.354,80.56,473.96,2154.109726,,,,,,
1638.5,13.4,277.65,4.73,512.28,131.42,13.4,20.561,19.422,80.5,441.21,2051.660006,,,,,,
1639,13.2,277.68,4.9,530.17,131.41,12.7,20.665,18.904,80.53,457.3,1997.496417,,,,,,
1639.5,12.3,277.5,4.66,503.38,131.52,11.8,17.816,17.816,80.5,435.1,1879.608002,,,,,,
1640,13.7,277.25,4.33,469.91,131.47,12.3,19.059,16.677,80.25,403.83,1761.353185,,,,,,
1640.5,14.3,277.85,4.48,488.81,131.35,14.3,20.406,20.043,80.56,418.72,2120.533412,,,,,,
1641,13.7,277.42,4.82,521.89,131.55,13.3,20.406,18.386,80.42,450.24,1940.060226,,,,,,
1641.5,12.9,277.51,4.87,526.42,131.54,12.9,19.577,16.677,80.36,455.03,1761.024046,,,,,,
